"군구별","보육시설수 (개소)_국공립","보육시설수 (개소)_법인","보육시설수 (개소)_민간","보육시설수 (개소)_민간_단체(법인외)","보육시설수 (개소)_부모협동","보육시설수 (개소)_직장","보육시설수 (개소)_가정","보육아동수 (명)_국공립","보육아동수 (명)_법인","보육아동수 (명)_민간","보육아동수 (명)_민간_단체(법인외)","보육아동수 (명)_부모협동","보육아동수 (명)_직장","보육아동수 (명)_가정"
"중구","14","1","20","1","0","10","70","725","63","991","30","0","717","1123"
"동구","9","0","20","0","0","3","34","551","0","895","0","0","100","470"
"남구","18","2","119","2","3","7","100","1181","228","7136","148","63","330","1695"
"연수구","15","0","68","1","0","8","160","1074","0","4384","38","0","353","2711"
"남동구","32","2","152","3","0","6","193","1586","228","9059","248","0","325","3221"
"부평구","17","4","132","8","1","8","229","1046","302","8509","327","56","428","3758"
"계양구","14","0","117","1","1","5","135","740","0","6706","51","34","121","1983"
"서구","17","2","171","2","1","8","254","1215","79","9899","232","26","479","4215"
"강화군","6","0","7","1","0","1","5","382","0","384","55","0","18","74"
"옹진군","8","0","2","0","0","0","1","187","0","97","0","0","0","20"
